barcode,product_name,brands,sugars_100g,fat_100g,fiber_100g,salt_100g,proteins_100g,energy_kcal_100g,quantity_grams,has_ingredients,nutrition_grades,sugar_pct_dv,sugar_tier,high_sugar_flag,shelf_location,units_sold_last_month,sugar_pct_dv_scaled
3229820798110,Granola Chocolat,Bjorg,12,13,7.5,0.01,10,420,350.0,True,c,24.0,high,1, Aisle 3C,181,0.46153846153846156
7613287157201,Multigrain Cheerios,Nestlé,17.66667,4.8,9.66667,0.78333,9.9,380,390.0,True,c,35.33334,high,1, Aisle 3C, 274 ,0.6794873076923077
0884912005502,Grape-Nuts,Post,8.9,1.8,12,1,11.2,362,580.0,True,b,17.8,moderate,0,,,0.3423076923076923
3229820786605,Crousti' Avoine Chocolat,Bjorg,14,13,9.5,0.1,10,416,500.0,True,c,28.000000000000004,high,1,Aisle 1A,1148,0.5384615384615385
20060831,Premium Fruit & Nut Muesli,Lidl,24.6,11.6,6.4,0.04,8.8,394,750.0,True,c,49.2,high,1,,,0.9461538461538462
5018357804764,Nutty Granola,Dorset Cereals,13.1111111111111,15.5555555555556,6.22222222222222,5.55555555555556e-05,10.2222222222222,442.222222222222,450.0,True,b,26.222222222222204,high,1,Aisle 2B,1181,0.5042735042735039
8480000229663,Corn Flakes 0% azúcares añadidos,Hacendado,0.9,1.1,4.4,1,6.7,383.333333333333,30.0,True,c,1.8000000000000003,low,0,Endcap-South,73,0.03461538461538462
5059319029016,Special K The Original,Special K,15,1.3,6,0.825,8,393.333333333333,440.0,True,c,30.0,high,1,Aisle 4B,1111,0.5769230769230769
5010477356239,Muesli bio chocolat noir,Jordans BIO,9,11,8.9,0.03,9.1,397.777777777778,450.0,True,b,18.0,moderate,0,Aisle 4B,791,0.34615384615384615
20283360,Fiocchi di avena integrali,Crownfield,0.75,7,10,0.02,13.5,298,500.0,True,a,1.5,low,0, Aisle 3C,621,0.028846153846153848
8480000095718,Copos de trigo espelta integral 0%,Hacendado,1.9,2.7,8.8,0.78,14.6,364,400.0,True,a,3.8,low,0, Aisle 3C,845,0.07307692307692307
7613287366665,Nesquik Cereal,Nesquik,22.4,3,8.5,0.45,8.4,373,150.0,True,unknown,44.8,high,1,Aisle 2B,182,0.8615384615384615
5010029219326,No Added Sugar Muesli imp,"Weetabix, Alpen",16,5.8,8.3,0.275,12,369,560.0,True,a,32.0,high,1, Aisle 3C,1142,0.6153846153846154
4056489195917,Jemné ovesné vločky,Crownfield,0.7,5.7,8.5,0,12,372,500.0,True,a,1.4,low,0,Aisle 2B,487,0.02692307692307692
5053827110983,Céréales Miel Pops,Kellogg's,22,1.5,4.6,0.4,5.2,384,620.0,True,c,44.0,high,1,Aisle 4B,1155,0.8461538461538461
5000119117342,Wheat Biscuits,Tesco,4.4,2,10,0.3,12,357.894736842105,,True,a,8.8,moderate,0,Aisle 2B,1127,0.16923076923076924
5053827199568,Tresor - Choco Nut,Kellogg's,26,16,3.6,0.94,7.1,458.094327597195,410.0,True,e,52.0,high,1,,,1.0
5900617002983,Granola chocolate / pieces of chocolate,"Nutrition sante, Sante",22,16,6.7,0.61,8.6,456,350.0,True,d,44.0,high,1,Aisle 2B,299,0.8461538461538461
4056489159506,LOW SUGAR Granola ORIGINAL,Crownfield,3.11111111111111,23.7777777777778,7.55555555555556,0.02,13.7777777777778,522.222222222222,500.0,True,a,6.22222222222222,moderate,0,,,0.11965811965811961
3159470005071,Céréales Extra Pépites Chocolat Noisettes,Kellogg's,21,25,5.8,0.68,8,497,500.0,True,e,42.0,high,1, Aisle 3C,279,0.8076923076923077
3229820796857,Flocons d'avoine,Bjorg,0,8,11,0.0833333333333333,10.8333333333333,363.333333333333,900.0,True,a,0.0,low,0,Aisle 2B,659,0.0
7613287170989,shredded wheat,Nestlé,0.7,2.2,12.5,0.05,11.8,367,370.0,True,a,1.4,low,0, Aisle 3C,1111,0.02692307692307692
5010477354051,Muesli Bio Superfruits,Jordans,10.2,5.5,9.4,0.03,11.2,360,450.0,True,a,20.4,high,1,Aisle 2B,258,0.3923076923076923
8410188012092,Kelloggs corn flakes the original,Kellogg's,8,0.9,3,1.1,7,383.205863607393,500.0,True,d,16.0,moderate,0,Aisle 1A,973,0.3076923076923077
3229820797861,Croustillant 3 noix,Bjorg,14,17,9.9,0.02,11,486.666666666667,450.0,True,b,28.000000000000004,high,1,Aisle 4B,1018,0.5384615384615385
8480000094742,Granola baja en azúcares,Hacendado,4.7,22.7,8.5,0.02,13.6,477,400.0,True,a,9.4,moderate,0,Aisle 4B,745,0.18076923076923077
